order_id,fecha_id,producto_key,provincia_key,canal_segmento_key,cantidad,precio_unitario,ventas,costo,ganancia
1000,2023-01-01,14,4,1,5,19600.0,98000.0,74545.99,23454.01
1001,2023-01-01,12,9,3,1,20300.0,20300.0,17118.53,3181.47
1002,2023-01-01,2,4,1,5,33900.0,169500.0,123534.49,45965.51
1003,2023-01-01,9,1,2,5,11500.0,57500.0,41463.35,16036.65
1004,2023-01-01,10,4,4,5,12200.0,61000.0,46036.45,14963.55
1005,2023-01-01,5,6,4,2,33400.0,66800.0,53525.37,13274.63
1006,2023-01-01,15,9,4,4,13200.0,52800.0,39103.48,13696.52
1007,2023-01-02,19,9,2,5,4300.0,21500.0,18044.85,3455.15
1008,2023-01-02,10,9,1,2,11100.0,22200.0,17069.29,5130.71
1009,2023-01-02,14,6,5,3,16000.0,48000.0,34830.23,13169.77
1010,2023-01-02,7,5,2,2,15800.0,31600.0,24500.36,7099.64
1011,2023-01-02,10,9,3,2,12600.0,25200.0,18201.33,6998.67
1012,2023-01-02,1,1,3,2,26500.0,53000.0,42496.73,10503.27
1013,2023-01-02,12,9,1,5,20400.0,102000.0,83170.81,18829.19
1014,2023-01-02,9,4,1,2,15000.0,30000.0,18558.5,11441.5
1015,2023-01-02,6,7,4,4,10600.0,42400.0,30003.63,12396.37
1016,2023-01-03,12,4,1,5,10600.0,53000.0,39875.27,13124.73
1017,2023-01-03,4,4,1,1,19200.0,19200.0,13381.88,5818.12
1018,2023-01-03,19,1,6,5,3500.0,17500.0,14825.01,2674.99
1019,2023-01-03,1,6,5,5,23600.0,118000.0,94321.7,23678.3
1020,2023-01-03,8,4,4,1,16000.0,16000.0,13468.5,2531.5
1021,2023-01-03,5,4,1,5,23000.0,115000.0,74863.42,40136.58
1022,2023-01-03,17,2,1,2,5400.0,10800.0,6765.28,4034.72
1023,2023-01-03,16,2,1,3,5400.0,16200.0,10180.44,6019.56
1024,2023-01-03,18,6,5,5,4500.0,22500.0,17377.95,5122.05
1025,2023-01-04,15,6,1,2,18500.0,37000.0,29571.58,7428.42
1026,2023-01-04,13,1,1,2,14600.0,29200.0,19602.01,9597.99
1027,2023-01-04,20,6,1,3,3700.0,11100.0,7993.67,3106.33
